Name	Protocol	Port	Comments
tcp_1783	tcp	1783	
tcp_17988	tcp	17988	
tcp_17990	tcp	17990	
tcp_17998	tcp	17998	
tcp_1800	tcp	1800	
tcp_1800_2000	tcp	1800-2000	
tcp_1801	tcp	1801	
tcp_18080	tcp	18080	
tcp_1812	tcp	1812	
tcp_1813	tcp	1813	
tcp_18457	tcp	18457	
tcp_1858	tcp	1858	
tcp_1859	tcp	1859	
tcp_1880	tcp	1880	
tcp_1881	tcp	1881	
tcp_1882	tcp	1882	
tcp_19000	tcp	19000	
tcp_19091	tcp	19091	
tcp_19120	tcp	19120	
tcp_1931	tcp	1931	
tcp_1935	tcp	1935	
tcp_1943	tcp	1943	Res One Relay
tcp_1954	tcp	1954	
tcp_1984	tcp	1984	
tcp_1985	tcp	1985	
tcp_199	tcp	199	
tcp_20000	tcp	20000	
tcp_2002	tcp	2002	
tcp_2012	tcp	2012	
tcp_2015	tcp	2015	
tcp_20180	tcp	20180	
tcp_2020	tcp	2020	
tcp_2021	tcp	2021	
tcp_2022	tcp	2022	
tcp_2023_Telvue3	tcp	2023	
tcp_2030	tcp	2030	
tcp_2033	tcp	2033	
tcp_2034	tcp	2034	
tcp_20389	tcp	20389	IAM App Server to Provisioning Server
tcp_20390	tcp	20390	IAM App Server to Provisioning Server
tcp_2043	tcp	2043	
tcp_2048	tcp	2048	
tcp_2051	tcp	2051	
tcp_20514	tcp	20514	
tcp_2052	tcp	2052	
tcp_2055	tcp	2055	
tcp_2059	tcp	2059	used by bmcr1
tcp_2060	tcp	2060	BSM service
tcp_2068_avocent	tcp	2068	avocent port for ip kvm(ffis)
tcp_20702	tcp	20702	
tcp_2072	tcp	2072	
tcp_20763	tcp	20763	
tcp_2080	tcp	2080	
tcp_2083	tcp	2083	
tcp_2121	tcp	2121	
tcp_21212	tcp	21212	
tcp_2162	tcp	2162	
tcp_2166	tcp	2166	
tcp_2179	tcp	2179	
tcp_2182	tcp	2182	
tcp_21938	tcp	21938	
tcp_220	tcp	220	
tcp_22024	tcp	22024	
tcp_2221	tcp	2221	
tcp_2222	tcp	2222	
tcp_22233-22236	tcp	22233-22236	
tcp_2288	tcp	2288	
tcp_2301_2303	tcp	2301-2303	for sungard floor
TCP_2302	tcp	2302	CMD 
tcp_2323	tcp	2323	
tcp_2326-2486	tcp	2326-2486	
tcp_2374	tcp	2374	
tcp_2377	tcp	2377	
tcp_2401	tcp	2401	
tcp_2404	tcp	2404	
tcp_2424	tcp	2424	
tcp_2433	tcp	2433	
tcp_2436	tcp	2436	
tcp_2463	tcp	2463	
tcp_2484	tcp	2484	
tcp_25000-25999	tcp	25000-25999	
tcp_2501	tcp	2501	
tcp_25206	tcp	25206	
tcp_2546	tcp	2546	
tcp_2555	tcp	2555	
tcp_25732	tcp	25732	
tcp_26	tcp	26	
tcp_26024	tcp	26024	
tcp_2638	tcp	2638	
tcp_2673	tcp	2673	
tcp_26745	tcp	26745	
tcp_27000	tcp	27000	
tcp_27000_27009	tcp	27000-27009	
